gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Med13l,0.00502608068168048,med13l,MED13L,6.513744143997054e-5,19.331601510639324,2.2987705354895365,4.186168637530501,4.272889330901319,10.757828503921356,6.513744143997054e-5
Bcl11a,0.01229889330373,bcl11a,BCL11A,0.01963305447399721,137.72982912732363,1.9101339625665903,1.7070121262059519,7.105697248274358,10.7228433370469,0.01229889330373
Ctcf,5.34368784657647e-5,ctcf,CTCF,0.00352523524941074,15.1923250870802,4.272158106534457,2.4528118836262114,3.9252708717304774,10.650240861891145,5.34368784657647e-5
Ext1,0.0111806708848554,ext1,EXT1,2.827202909341142e-5,16.100439794959716,1.951532132381981,4.548641484800093,4.009028281612169,10.509201898794243,2.827202909341142e-5
Cyfip2,6.1717685033176e-4,cyfip2,CYFIP2,0.00489307281057353,31.408657486880884,3.2095903018743654,2.31041831286793,4.973090419422751,10.493099034165045,6.1717685033176e-4
Fus,0.00381595337143298,fus,FUS,0.00197940203790849,40.82845901426072,2.418396929361837,2.70346596499889,5.351503247273138,10.473366141633864,0.00197940203790849
Mmab,6.48814876106561e-5,mmab,MMAB,0.00346989342741401,14.040772554387312,4.1878785317606555,2.459683851193564,3.8115505157389276,10.459112898693148,6.48814876106561e-5
Itpr1,0.0094848309116271,itpr1,ITPR1,5.685409087626704e-4,33.93711822418462,2.0229704024001625,3.245238204262068,5.084792200799946,10.353000807462177,5.685409087626704e-4
Fgfr3,0.00653725376293764,fgfr3,FGFR3,5.315860753145478e-4,29.721728397599794,2.184604649632179,3.2744263220533774,4.893446158299279,10.352477129984836,5.315860753145478e-4
Tnnt2,1.1189759267564e-4,tnnt2,TNNT2,0.00167008962079009,12.175841678076251,3.9511788685080096,2.7772601969976973,3.6059497181527664,10.334388783658474,1.1189759267564e-4
Thrb,1.580866193242e-4,thrb,THRB,5.932028476931581e-4,9.591503042646158,3.801104613094223,3.226796699579441,3.26175706182621,10.289658374499874,1.580866193242e-4
Stat6,0.0107559623024033,stat6,STAT6,0.03112598739082919,112.35753760656374,1.9683507245276983,1.5068768614218289,6.811953114874993,10.287180700824521,0.0107559623024033
Gabrb2,2.4085851279035e-4,gabrb2,GABRB2,2.8675619554139275e-4,8.603031569923665,3.618237819266738,3.5424870386790945,3.1048452996278098,10.265570157573642,2.4085851279035e-4
Sptan1,0.0181180394581452,sptan1,SPTAN1,1.7179252001953192e-4,26.44778126219931,1.7418887964572656,3.7649954968123196,4.725074847341269,10.231959140610854,1.7179252001953192e-4
Zbtb20,1.699932916747e-4,zbtb20,ZBTB20,1.5813439901398406e-4,6.136135319696165,3.7695679610628736,3.800973372971329,2.6173305339433632,10.187871867977567,1.5813439901398406e-4
Ago1,0.00273664728575226,ago1,AGO1,0.02304661049031078,62.57903295819915,2.5627811573898307,1.6373929362249415,5.967607482541418,10.167781576156191,0.00273664728575226
Nf1,6.5208169910277e-4,nf1,NF1,3.800376495777068e-5,5.72803010247762,3.185697921644323,4.420172233791684,2.5180393262733283,10.123909481709335,3.800376495777068e-5
Impdh1,0.00351883081845644,impdh1,IMPDH1,9.816741252230458e-4,25.25752769932324,2.4536016007253463,3.008032611664431,4.658641581691028,10.120275794080804,9.816741252230458e-4
Dhx30,2.4608695690701e-4,dhx30,DHX30,0.00994632473459693,21.93974705616712,3.6089112276693416,2.002337361354618,4.455475053618201,10.066723642642161,2.4608695690701e-4
Sash1,0.00231252147362068,sash1,SASH1,0.00467870785578187,33.40043894622335,2.6359142070167296,2.3298740625553678,5.061795200702095,10.027583470274193,0.00231252147362068
Stim1,2.2205211086569e-4,stim1,STIM1,0.0239421394094533,26.844308497662023,3.653544898410191,1.620837042917415,4.746544390562092,10.020926331889697,2.2205211086569e-4
Scn8a,3.1761633965518e-4,scn8a,SCN8A,0.01107367870214078,22.62134013176688,3.4980970268156164,1.9557080775805324,4.4996125585560955,9.953417662952244,3.1761633965518e-4
Atp7b,2.8961754904014e-4,atp7b,ATP7B,3.996729251187796e-5,3.761445527432712,3.538174976151709,4.398294184355405,1.9112875812184462,9.84775674172556,3.996729251187796e-5
Grin2a,2.1423546343633e-4,grin2a,GRIN2A,0.02069755664317222,21.98205528564794,3.6691084339610383,1.6840809180978853,4.4582544427008655,9.81144379475979,2.1423546343633e-4
Kdm6a,0.0022765514209759,kdm6a,KDM6A,0.02685343288124366,46.80900174252127,2.642722516661592,1.5710001855880547,5.54871412390337,9.762436826153017,0.0022765514209759
Chd7,8.0789094087667e-4,chd7,CHD7,0.00307649762287166,17.74533178291219,3.0926472079591836,2.5119434020271596,4.149367724781025,9.753958334767368,8.0789094087667e-4
Bap1,0.0164306177962124,bap1,BAP1,0.01839832091802192,75.02347440456609,1.7843461040104918,1.7352218077447277,6.2292701911684984,9.748838102923717,0.0164306177962124
Smchd1,0.0107090760786257,smchd1,SMCHD1,3.126999285185359e-4,19.298471297055972,1.9702479920841007,3.504872079149001,4.270414740479384,9.745534811712485,3.126999285185359e-4
Runx1,0.0220558776046721,runx1,RUNX1,1.913061787642858e-4,20.09549802745238,1.6564756549696258,3.7182707759845495,4.32880049888226,9.703546929836435,1.913061787642858e-4
Tgfbi,0.0459390156667765,tgfbi,TGFBI,0.00746813682046514,72.63449504905695,1.337818313704267,2.1267877283157066,6.182582980011046,9.64718902203102,0.00746813682046514
Phip,0.00191638623968238,phip,PHIP,0.01963305447399721,35.80059124411924,2.717516933525491,1.7070121262059519,5.161911548873722,9.586440608605166,0.00191638623968238
Atrx,0.0022316765658444,atrx,ATRX,0.00636675402743371,26.173547256888988,2.6513687274815743,2.196081921482257,4.710037613679721,9.557488262643552,0.0022316765658444
